Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health,NHS Digital,9/27/2016,Rent,Finance and Corporate Services ,DEPARTMENT OF HEALTH,214541,"239,821.33",Rent
Department of Health,NHS Digital,3/1/2017,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,9.01E+20,"238,076.27",Rates
Department of Health,NHS Digital,1/30/2017,IT Hardware,Operations and Assurance Services ,MCSA GROUP LTD,SINV103873,"234,085.53",IT Hardware
Department of Health,NHS Digital,12/2/2016,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003342112,"231,859.72",Managed Service
Department of Health,NHS Digital,3/8/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10183193,"221,089.94",Contingent Labour
Department of Health,NHS Digital,12/22/2016,Software,Health Digital Services ,BJSS LTD,INVUK001706,"218,162.00",Software
Department of Health,NHS Digital,1/31/2017,Software,Health Digital Services ,BJSS LTD,1939,"218,162.00",Software
Department of Health,NHS Digital,1/31/2017,Software,Health Digital Services ,BJSS LTD,1974,"218,162.00",Software
Department of Health,NHS Digital,2/28/2017,Software,Health Digital Services ,BJSS LTD,2149,"218,162.00",Software
Department of Health,NHS Digital,3/30/2017,Software,Health Digital Services ,BJSS LTD,2220,"218,162.00",Software
Department of Health,NHS Digital,12/21/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10166601,"215,825.62",Contingent Labour
Department of Health,NHS Digital,8/31/2016,Travel,Various,REDFERN TRAVEL LTD,2365,"212,083.56",Travel
Department of Health,NHS Digital,3/15/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10184449,"211,754.02",Contingent Labour
Department of Health,NHS Digital,3/17/2017,Data Purchases and Services,Health Digital Services ,CSC COMPUTER SCIENCES LTD,5201491238,"211,148.12",Data Services
Department of Health,NHS Digital,11/30/2016,Software,Operations and Assurance Services ,MASTEK LTD,90337003,"209,831.79",Software
Department of Health,NHS Digital,1/19/2017,External Consultancy Fees,Workforce ,ACCENTURE (UK) LTD,3003344604,"209,015.50",External Consultancy Fees
Department of Health,NHS Digital,6/13/2016,Rent,Finance and Corporate Services ,PETIT PAPILLON MANAGEMENT LTD,11851,"205,758.88",Rent
Department of Health,NHS Digital,9/6/2016,Rent,Finance and Corporate Services ,PETIT PAPILLON MANAGEMENT LTD,12150,"205,758.88",Rent
Department of Health,NHS Digital,11/30/2016,Rent,Finance and Corporate Services ,PETIT PAPILLON MANAGEMENT LTD,12432,"205,758.88",Rent
Department of Health,NHS Digital,3/22/2017,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01585926,"205,000.00",Software
Department of Health,NHS Digital,12/12/2016,Rent,Finance and Corporate Services ,EVERSHEDS LLP,12000987,"201,089.79",Rent
Department of Health,NHS Digital,3/8/2017,Rent,Finance and Corporate Services ,EVERSHEDS LLP,12001035,"197,948.67",Rent
Department of Health,NHS Digital,12/23/2016,Software,Operations and Assurance Services ,SOFTWARE BOX LTD,INV86922,"197,594.04",Software
Department of Health,NHS Digital,11/9/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10156392,"197,036.81",Contingent Labour
Department of Health,NHS Digital,6/27/2016,Rent,Finance and Corporate Services ,EVERSHEDS LLP,12000839,"196,901.63",Rent
Department of Health,NHS Digital,1/31/2017,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,794,"196,705.00",Workpackage
Department of Health,NHS Digital,1/26/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10173119,"195,849.14",Contingent Labour
Department of Health,NHS Digital,12/22/2016,Software,Health Digital Services ,BJSS LTD,INVUK001707,"194,058.00",Software
Department of Health,NHS Digital,3/1/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10181201,"192,616.85",Contingent Labour
Department of Health,NHS Digital,2/15/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10178388,"191,266.00",Contingent Labour
Department of Health,NHS Digital,2/1/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10174287,"191,233.07",Contingent Labour
Department of Health,NHS Digital,7/21/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160065,"191,175.00",Workpackage
Department of Health,NHS Digital,7/21/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160071,"191,175.00",Workpackage
Department of Health,NHS Digital,2/28/2017,IT Hardware,Operations and Assurance Services ,SPECIALIST COMPUTER CENTRES PLC,OPM274672,"189,900.00",IT Hardware
Department of Health,NHS Digital,11/30/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54828122,"189,204.50",Legal Services
Department of Health,NHS Digital,12/15/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,53104,"186,860.00",Health Surveys
Department of Health,NHS Digital,2/28/2017,Software,Operations and Assurance Services ,BJSS LTD,2115,"185,027.50",Software
Department of Health,NHS Digital,1/31/2017,Software,Operations and Assurance Services ,BJSS LTD,1950,"184,197.50",Software
Department of Health,NHS Digital,2/28/2017,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,819,"183,835.00",Workpackage
Department of Health,NHS Digital,6/15/2016,IT Hardware,Information and Analytics ,SOFTCAT LTD,INV01396371,"182,305.00",IT Hardware
Department of Health,NHS Digital,12/14/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10164766,"181,101.54",Contingent Labour
Department of Health,NHS Digital,3/1/2017,IT Hardware,Operations and Assurance Services ,VODAFONE CORPORATE LTD,UK100320176677,"180,947.15",IT Hardware
Department of Health,NHS Digital,12/22/2016,Software,Health Digital Services ,BJSS LTD,INVUK001708,"179,130.00",Software
Department of Health,NHS Digital,2/22/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10179675,"178,235.54",Contingent Labour
Department of Health,NHS Digital,2/28/2017,Software,Operations and Assurance Services ,BJSS LTD,2120,"177,047.50",Software
Department of Health,NHS Digital,6/30/2016,Rent,Finance and Corporate Services ,AMAS LTD,1184726,"177,000.00",Rent
Department of Health,NHS Digital,11/24/2016,Rent,Finance and Corporate Services ,MJ MAPP LLP,600000198,"177,000.00",Rent
Department of Health,NHS Digital,9/8/2016,Rent,Finance and Corporate Services ,MJ MAPP LLP,T600681,"177,000.00",Rent
Department of Health,NHS Digital,2/23/2017,Rent,Finance and Corporate Services ,MJ MAPP LLP,600000308,"177,000.00",Rent
Department of Health,NHS Digital,12/21/2016,IT Hardware,Operations and Assurance Services ,MCSA GROUP LTD,SINV103504,"175,543.01",IT Hardware
Department of Health,NHS Digital,1/18/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10171743,"175,014.57",Contingent Labour
Department of Health,NHS Digital,12/19/2016,Data Purchases and Services,Information and Analytics ,CSC COMPUTER SCIENCES LTD,5201480068,"174,817.36",Data Services
Department of Health,NHS Digital,1/5/2017,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,ISIN10556,"174,490.38",Managed Service
Department of Health,NHS Digital,12/21/2016,Managed Service,Health Digital Services ,ACCENTURE (UK) LTD,3003342111,"171,905.00",Managed Service
Department of Health,NHS Digital,4/5/2016,Computer Maintenance,Operations and Assurance Services ,PROBRAND LTD,OPI537150,"171,217.49",Computer Maintenance
Department of Health,NHS Digital,2/20/2017,IT Hardware,Operations and Assurance Services ,PROBRAND LTD,OPI562206,"170,846.79",IT Hardware
Department of Health,NHS Digital,3/7/2017,Software,Operations and Assurance Services ,PRICEWATERHOUSE COOPERS,1354710528,"169,713.54",Software
Department of Health,NHS Digital,4/18/2016,Rent,Finance and Corporate Services ,HOME OFFICE,IPSGR0001003,"167,927.00",Rent
Department of Health,NHS Digital,2/28/2017,IT Hardware,Operations and Assurance Services ,TOTAL COMPUTER NETWORKS LTD,SI601455,"166,944.11",IT Hardware
Department of Health,NHS Digital,2/12/2017,Course Fees,Various,CAPITA BUSINESS SERVICES LTD,X113415,"166,491.48",Course Fees
Department of Health,NHS Digital,3/5/2017,Course Fees,Operations and Assurance Services ,CAPITA BUSINESS SERVICES LTD,X114059,"166,491.48",Training Course Fees
Department of Health,NHS Digital,4/6/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC017,"165,809.88",Workpackage
Department of Health,NHS Digital,8/16/2016,Rates,Finance and Corporate Services ,LEEDS CITY COUNCIL,90168128X16082016165439,"165,439.73",Rates
Department of Health,NHS Digital,3/31/2016,Software,Operations and Assurance Services ,MCSA GROUP LTD,SINV100364,"163,585.89",Software
Department of Health,NHS Digital,11/23/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10159654,"162,856.15",Contingent Labour
Department of Health,NHS Digital,12/15/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01519089,"162,322.75",Software
Department of Health,NHS Digital,2/15/2017,Software,Operations and Assurance Services ,MASTEK LTD,90337419,"161,700.00",Software
Department of Health,NHS Digital,12/23/2016,IT Hardware,Operations and Assurance Services ,COMPUTACENTER (UK) LTD,3881045318,"161,600.00",IT Hardware
Department of Health,NHS Digital,2/8/2017,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10177132,"160,928.77",Contingent Labour
Department of Health,NHS Digital,3/17/2017,Workpackage,Health Digital Services ,NHS BUSINESS SERVICES AUTHORITY,33905,"160,766.00",Workpackage
Department of Health,NHS Digital,5/5/2016,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,ISIN10336,"159,817.78",Managed Service
Department of Health,NHS Digital,7/29/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541717,"159,604.04",Rent
Department of Health,NHS Digital,9/30/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541805,"159,588.05",Rent
Department of Health,NHS Digital,6/17/2016,Workpackage,Operations and Assurance Services ,XML SOLUTIONS LTD,IC019,"157,537.88",Workpackage
Department of Health,NHS Digital,5/27/2016,Software,Operations and Assurance Services ,SOFTCAT LTD,INV01350017,"156,609.68",Software
Department of Health,NHS Digital,9/5/2016,Rent,Finance and Corporate Services ,HOME OFFICE,IPSGR0001085,"156,206.00",Rent
Department of Health,NHS Digital,8/31/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541747,"155,994.04",Rent
Department of Health,NHS Digital,3/31/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52647,"155,560.00",Health Surveys
Department of Health,NHS Digital,12/8/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10163412,"155,049.37",Contingent Labour
Department of Health,NHS Digital,1/25/2017,Managed Service,Health Digital Services ,VODAFONE CORPORATE LTD,466813,"154,947.32",Managed Service
Department of Health,NHS Digital,6/21/2016,Rent,Finance and Corporate Services ,REGUS (UK) LTD,23541668,"154,489.04",Rent
Department of Health,NHS Digital,3/18/2017,Workpackage,Operations and Assurance Services ,HEALTH EDUCATION ENGLAND,49299573,"153,100.00",Workpackage
Department of Health,NHS Digital,6/21/2016,Data Purchases and Services,Information and Analytics ,NATIONAL CENTRE FOR SOCIAL RESEARCH,52739,"152,920.00",Health Surveys
Department of Health,NHS Digital,1/5/2017,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,ISIN10555,"152,500.00",Managed Service
Department of Health,NHS Digital,2/7/2017,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,10586,"152,500.00",Managed Service
Department of Health,NHS Digital,12/8/2016,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,ISIN10554,"152,500.00",Managed Service
Department of Health,NHS Digital,3/7/2017,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,10612,"152,500.00",Managed Service
Department of Health,NHS Digital,7/12/2016,IT Hardware,Operations and Assurance Services ,ANS GROUP PLC,1003270,"150,178.25",IT Hardware
Department of Health,NHS Digital,9/7/2016,Rent,Finance and Corporate Services ,EVERSHEDS LLP,12000944,"150,090.00",Rent
Department of Health,NHS Digital,6/24/2016,Workpackage,Provider Support and Integration ,ASE CONSULTING LTD,20160042,"150,000.00",Workpackage
Department of Health,NHS Digital,1/5/2017,Managed Service,Operations and Assurance Services ,INTECHNOLOGY PLC,ISIN10568,"149,487.61",Managed Service
Department of Health,NHS Digital,3/22/2016,Computer Maintenance,Operations and Assurance Services ,PROBRAND LTD,OPI536114,"149,226.24",Computer Maintenance
Department of Health,NHS Digital,11/21/2016,Software,Operations and Assurance Services ,BJSS LTD,INVUK001551,"148,784.67",Software
Department of Health,NHS Digital,12/19/2016,Rent,Finance and Corporate Services ,MJ MAPP LLP,60000081,"147,500.00",Rent
Department of Health,NHS Digital,2/6/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,69,"146,905.09",Workpackage
Department of Health,NHS Digital,3/16/2017,Workpackage,Operations and Assurance Services ,MASTEK LTD,90337519,"146,500.00",Workpackage
Department of Health,NHS Digital,12/31/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,751,"145,882.03",Workpackage
Department of Health,NHS Digital,12/31/2016,Workpackage,Operations and Assurance Services ,INFINITY WORKS CONSULTING,746,"145,711.02",Workpackage
Department of Health,NHS Digital,11/30/2016,Software,Operations and Assurance Services ,BJSS LTD,INVUK001640,"145,697.49",Software
Department of Health,NHS Digital,3/15/2017,External Consultancy Fees,Workforce,DELOITTE LLP,2410116069,"145,600.00",External Consultancy Fees
Department of Health,NHS Digital,6/24/2016,Rent,Finance and Corporate Services ,DEPARTMENT OF HEALTH,214259,"143,743.12",Rent
Department of Health,NHS Digital,4/18/2016,Rent,Finance and Corporate Services ,HM LAND REGISTRY,1145219,"143,100.00",Rent
Department of Health,NHS Digital,7/26/2016,Rent,Finance and Corporate Services ,HM LAND REGISTRY,1147974,"143,100.00",Rent
Department of Health,NHS Digital,10/4/2016,Rent,Finance and Corporate Services ,HM LAND REGISTRY,1149563,"143,100.00",Rent
Department of Health,NHS Digital,3/10/2017,Rent,Finance and Corporate Services ,HM LAND REGISTRY,1153915,"143,100.00",Rent
Department of Health,NHS Digital,2/6/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,68,"142,766.70",Workpackage
Department of Health,NHS Digital,3/6/2017,Workpackage,Operations and Assurance Services ,DT TECH SOLUTIONS UK LTD,71,"142,754.84",Workpackage
Department of Health,NHS Digital,11/8/2016,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6467,"142,561.00",Workpackage
Department of Health,NHS Digital,3/24/2016,Fixtures & Fittings,Various,FLEXIFORM BUSINESS FURNITURE LTD,PF44805,"142,238.00",Fixtures & Fittings Additions
Department of Health,NHS Digital,1/5/2017,Managed Service,Health Digital Services ,INTECHNOLOGY PLC,ISIN10569,"141,997.90",Managed Service
Department of Health,NHS Digital,12/29/2016,IT Hardware,Operations and Assurance Services ,COMPUTACENTER (UK) LTD,3881046921,"141,400.00",IT Hardware
Department of Health,NHS Digital,9/21/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10143788,"141,289.74",Contingent Labour
Department of Health,NHS Digital,2/6/2017,Workpackage,Provider Support and Integration,BRAMBLE HUB LTD,6686,"141,259.56",Workpackage
Department of Health,NHS Digital,10/28/2016,Legal Fees and Services,Various,DLA PIPER UK LLP,54825248,"141,245.28",Legal Services
Department of Health,NHS Digital,3/28/2017,Managed Service,Health Digital Services ,INTECHNOLOGY PLC,10623,"141,000.00",Managed Service
Department of Health,NHS Digital,3/6/2017,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6747,"140,684.82",Workpackage
Department of Health,NHS Digital,1/25/2017,Software,Operations and Assurance Services ,BJSS LTD,1849,"140,678.75",Software
Department of Health,NHS Digital,5/6/2016,Conferences And Seminars,Various,CALDER CONFERENCES LTD,B83692,"139,691.22",Conferences & Seminars
Department of Health,NHS Digital,6/21/2016,Conferences And Seminars,Various,CALDER CONFERENCES LTD,BB3889,"138,877.33",Conferences & Seminars
Department of Health,NHS Digital,1/24/2017,Software,Operations and Assurance Services ,MASTEK LTD,90337311,"138,425.00",Software
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10104047,"137,852.19",Contingent Labour
Department of Health,NHS Digital,11/2/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10154282,"137,718.12",Contingent Labour
Department of Health,NHS Digital,6/29/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10117667,"137,680.23",Contingent Labour
Department of Health,NHS Digital,9/7/2016,Contingent Labour,Various,CAPITA BUSINESS SERVICES LTD,LO10140092,"137,637.08",Contingent Labour
Department of Health,NHS Digital,12/12/2016,Workpackage,Provider Support and Integration ,BRAMBLE HUB LTD,6537,"136,679.00",Workpackage
